id_eje,ejecutora_nombre,year,ind_eje,propim,proinv,pim,devengado,certificado,compromiso_anual,inverre,pim_total,invtot
MUNICIPALIDAD DISTRITAL DE ANDAGUA,MUNICIPALIDAD DISTRITAL DE ANDAGUA,2023,.74434352,.52662009,.9285714,2634587,1961037.81,2350667.84,2071247.81,39,5002823,42
MUNICIPALIDAD DISTRITAL DE ANDAGUA,MUNICIPALIDAD DISTRITAL DE ANDAGUA,2024,.60392076,.75766939,.97297299,2180418,1316799.75,1579993.69,1324716.94,36,2877796,37
MUNICIPALIDAD DISTRITAL DE ANDAHUAYLILLAS,MUNICIPALIDAD DISTRITAL DE ANDAHUAYLILLAS,2022,.83815312,.96043366,.85185188,12770312,10703476.79,11232917.35,11112788.05,23,13296402,27
MUNICIPALIDAD DISTRITAL DE ANDAHUAYLILLAS,MUNICIPALIDAD DISTRITAL DE ANDAHUAYLILLAS,2023,.91119856,.99966711,.93939394,13097077,11934037.89,12287504.73,12270768.26,31,13101438,33
MUNICIPALIDAD DISTRITAL DE ANDAHUAYLILLAS,MUNICIPALIDAD DISTRITAL DE ANDAHUAYLILLAS,2024,.94433069,.99483168,.92307693,10033767,9475194.07,9983321.130000001,9958123.15,24,10085894,26
MUNICIPALIDAD DISTRITAL DE ANDAJES,MUNICIPALIDAD DISTRITAL DE ANDAJES,2022,.94243723,.91422486,.90909094,1317270,1241444.33,1255364.06,1242194.35,20,1440860,22
MUNICIPALIDAD DISTRITAL DE ANDAJES,MUNICIPALIDAD DISTRITAL DE ANDAJES,2023,.75165272,.89754444,.875,441801,332080.93,347081,337080.93,14,492233,16
MUNICIPALIDAD DISTRITAL DE ANDAJES,MUNICIPALIDAD DISTRITAL DE ANDAJES,2024,.66840327,.97410882,.8888889,752464,502949.4,751149.3,603369.4,8,772464,9
MUNICIPALIDAD DISTRITAL DE ANDAMARCA,MUNICIPALIDAD DISTRITAL DE ANDAMARCA,2022,.95023042,.49319956,.83636361,1576686,1498214.97,1549834.47,1549689.97,46,3196852,55
MUNICIPALIDAD DISTRITAL DE ANDAMARCA,MUNICIPALIDAD DISTRITAL DE ANDAMARCA,2023,.37186161,.21004677,.7368421,868263,322873.67,362468.67,352468.67,14,4133665,19
MUNICIPALIDAD DISTRITAL DE ANDAMARCA,MUNICIPALIDAD DISTRITAL DE ANDAMARCA,2024,.64398408,.30274478,.71428573,869727,560090.3200000001,621777.1,621777.1,15,2872806,21
MUNICIPALIDAD DISTRITAL DE ANDARAPA,MUNICIPALIDAD DISTRITAL DE ANDARAPA,2022,.88348311,.75617105,.73333335,3395772,3000107.17,3190658.72,3059833.169999999,33,4490746,45
MUNICIPALIDAD DISTRITAL DE ANDARAPA,MUNICIPALIDAD DISTRITAL DE ANDARAPA,2023,.65575147,.98376381,.72000003,2770215,1816572.53,2294652.9,1820394.83,18,2815935,25
MUNICIPALIDAD DISTRITAL DE ANDARAPA,MUNICIPALIDAD DISTRITAL DE ANDARAPA,2024,.49029022,.72549152,.64516127,1794047,879603.73,1060403.73,881403.73,20,2472871,31
MUNICIPALIDAD DISTRITAL DE ANDARAY,MUNICIPALIDAD DISTRITAL DE ANDARAY,2022,.43954164,.9445762,.92592591,4931128,2167436.13,4739955.36,3624487.72,25,5220466,27
MUNICIPALIDAD DISTRITAL DE ANDARAY,MUNICIPALIDAD DISTRITAL DE ANDARAY,2023,.50764924,.9654507,.94444442,4920769,2498024.53,3319659.71,2498024.53,34,5096862,36
MUNICIPALIDAD DISTRITAL DE ANDARAY,MUNICIPALIDAD DISTRITAL DE ANDARAY,2024,.61559409,1,1,4844244,2982088,3953932.96,2982088,38,4844244,38
MUNICIPALIDAD DISTRITAL DE ANDAYMARCA,MUNICIPALIDAD DISTRITAL DE ANDAYMARCA,2022,.80934858,.72204703,.70588237,2308292,1868212.87,1987497.17,1960524.64,12,3196872,17
MUNICIPALIDAD DISTRITAL DE ANDAYMARCA,MUNICIPALIDAD DISTRITAL DE ANDAYMARCA,2023,.76931494,.20681831,.78260869,2323944,1787844.85,2298490.4,2178490.4,18,11236645,23
MUNICIPALIDAD DISTRITAL DE ANDAYMARCA,MUNICIPALIDAD DISTRITAL DE ANDAYMARCA,2024,.77955806,.15286757,.77777779,2068905,1612831.6,1881192.02,1750942.6,28,13533969,36
MUNICIPALIDAD DISTRITAL DE ANDOAS,MUNICIPALIDAD DISTRITAL DE ANDOAS,2022,.84507787,.29924765,.6875,3725317,3148182.99,3725288.62,3268458.200000001,11,12448943,16
MUNICIPALIDAD DISTRITAL DE ANDOAS,MUNICIPALIDAD DISTRITAL DE ANDOAS,2023,.30465126,.56923378,.90476191,11383343,3467949.69,9472071.300000001,6790595.810000001,19,19997659,21
MUNICIPALIDAD DISTRITAL DE ANDOAS,MUNICIPALIDAD DISTRITAL DE ANDOAS,2024,.69721931,.60346103,.7647059,15514808,10817223.84,13122514.73,11380013.03,13,25709709,17
MUNICIPALIDAD DISTRITAL DE ANDRES AVELINO CACERES DORREGARAY,MUNICIPALIDAD DISTRITAL DE ANDRES AVELINO CACERES DORREGARAY,2022,.75100917,.88303787,.81818181,2591317,1946102.8,2135195.68,2125082.8,18,2934548,22
MUNICIPALIDAD DISTRITAL DE ANDRES AVELINO CACERES DORREGARAY,MUNICIPALIDAD DISTRITAL DE ANDRES AVELINO CACERES DORREGARAY,2023,.83640796,.75171524,.69230771,3113627,2604262.46,2765605.08,2724402.08,18,4142030,26
MUNICIPALIDAD DISTRITAL DE ANDRES AVELINO CACERES DORREGARAY,MUNICIPALIDAD DISTRITAL DE ANDRES AVELINO CACERES DORREGARAY,2024,.32493931,.99326915,.89285713,5183068,1684182.5,5142637.9,1696182.5,25,5218191,28
MUNICIPALIDAD DISTRITAL DE ANGASMARCA,MUNICIPALIDAD DISTRITAL DE ANGASMARCA,2022,.5176177,.28042603,.8108108,3634102,1881075.58,3223946.48,2217599.02,30,12959218,37
MUNICIPALIDAD DISTRITAL DE ANGASMARCA,MUNICIPALIDAD DISTRITAL DE ANGASMARCA,2023,.56296587,.2042512,.88571429,4276213,2407361.98,3812440.05,2613134.88,31,20936049,35
MUNICIPALIDAD DISTRITAL DE ANGASMARCA,MUNICIPALIDAD DISTRITAL DE ANGASMARCA,2024,.51585829,.39568752,.84210527,4113827,2122151.73,2541106.15,2432154.31,32,10396656,38
MUNICIPALIDAD DISTRITAL DE ANGUIA,MUNICIPALIDAD DISTRITAL DE ANGUIA,2022,.26971886,.14293353,.61538464,3285779,886236.5599999999,2986239.07,2986237.07,24,22988161,39
MUNICIPALIDAD DISTRITAL DE ANGUIA,MUNICIPALIDAD DISTRITAL DE ANGUIA,2023,.94683474,.26663977,.72000003,2880698,2727544.93,2755189.63,2755189.23,18,10803707,25
MUNICIPALIDAD DISTRITAL DE ANGUIA,MUNICIPALIDAD DISTRITAL DE ANGUIA,2024,.62038028,.13423012,.44999999,743715,461386.14,511666.7,510076.71,9,5540597,20
MUNICIPALIDAD DISTRITAL DE ANRA,MUNICIPALIDAD DISTRITAL DE ANRA,2022,.49197909,.98286963,.98809522,20534841,10102712.41,19911792,11891722.56,83,20892741,84
MUNICIPALIDAD DISTRITAL DE ANRA,MUNICIPALIDAD DISTRITAL DE ANRA,2023,.33531901,1,1,19517676,6544648.039999999,17374985.12,7823973.409999999,68,19517676,68
MUNICIPALIDAD DISTRITAL DE ANRA,MUNICIPALIDAD DISTRITAL DE ANRA,2024,.94160724,.99608147,.98461539,20223864,19042936.67,19978438.95,19379644.98999999,64,20303424,65
MUNICIPALIDAD DISTRITAL DE ANTA,MUNICIPALIDAD DISTRITAL DE ANTA,2022,.82637662,.62721747,.81632656,6348490,5246243.649999999,6044824.919999999,5375101.1,40,10121673,49
MUNICIPALIDAD DISTRITAL DE ANTA,MUNICIPALIDAD DISTRITAL DE ANTA,2023,.59230459,.2557407,.75510204,4242209,2512679.91,3502601.5,2701819.17,37,16587930,49
MUNICIPALIDAD DISTRITAL DE ANTA,MUNICIPALIDAD DISTRITAL DE ANTA,2024,.69645643,.18814881,.69230771,3270488,2277752.42,2810816.08,2289752.42,27,17382454,39
MUNICIPALIDAD DISTRITAL DE ANTAUTA,MUNICIPALIDAD DISTRITAL DE ANTAUTA,2022,.50096303,.99479979,.97560978,19130020,9583433.289999999,14324517.1,9833071.58,40,19230020,41
MUNICIPALIDAD DISTRITAL DE ANTAUTA,MUNICIPALIDAD DISTRITAL DE ANTAUTA,2023,.45463637,1,1,24360082,11074978.96,18994386.2,12996872.6,33,24360082,33
MUNICIPALIDAD DISTRITAL DE ANTAUTA,MUNICIPALIDAD DISTRITAL DE ANTAUTA,2024,.88269645,.99869835,.97560978,19748135,17431608.28,18458242.08,17435683.28,40,19773873,41
MUNICIPALIDAD DISTRITAL DE ANTIOQUIA,MUNICIPALIDAD DISTRITAL DE ANTIOQUIA,2022,.76053226,.33450148,.64705884,707390,537992.91,574042.4300000001,537992.91,11,2114759,17
MUNICIPALIDAD DISTRITAL DE ANTIOQUIA,MUNICIPALIDAD DISTRITAL DE ANTIOQUIA,2023,.86904496,.39652896,.95999998,727568,632289.3199999999,656642.1,654164.3199999999,24,1834842,25
MUNICIPALIDAD DISTRITAL DE ANTIOQUIA,MUNICIPALIDAD DISTRITAL DE ANTIOQUIA,2024,.51114982,.81305325,.66666669,701930,358791.38,587978.36,392791.38,16,863326,24
MUNICIPALIDAD DISTRITAL DE ANTONIO RAYMONDI,MUNICIPALIDAD DISTRITAL DE ANTONIO RAYMONDI,2022,.6721552,.75277776,.78571427,1688342,1134827.84,1672417.54,1134827.84,11,2242816,14
MUNICIPALIDAD DISTRITAL DE ANTONIO RAYMONDI,MUNICIPALIDAD DISTRITAL DE ANTONIO RAYMONDI,2023,.24571253,.93540508,.84615386,3058262,751453.29,1822140.57,751454.1899999999,11,3269452,13
